Scheme,Category,CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Exp. Ratio(%),6M_Score,1Y_Score,3Y_Score,Performance_Score,Cost_Score,Return_Std,Consistency_Score,Overall_Score,Category_Avg_3Y,3Y_vs_Category,Overall_Rank,Category_Rank,Type,Benchmark,Min. Invest(Rs.),SIP Min. Inv.(Rs.)
IDFC Ultra Short Term Fund-Reg(W-IDCW),Debt - Ultra Short Duration Fund,5.72,4.76,4.36,0.43,64.57572502685285,27.848318462594374,32.42381289865344,37.481546993475604,88.12260536398468,20.0149235812106,65.3331354477348,57.104708699667675,4.4264935064935065,-0.06649350649350616,407,9,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
IDBI Ultra ST(W-IDCW),Debt - Ultra Short Duration Fund,5.86,4.85,4.43,0.44,64.8764769065521,28.002745367192865,32.67186392629341,37.71205095461499,87.73946360153256,20.077391277105363,65.22493822461331,57.09712593384396,4.4264935064935065,0.0035064935064932357,408,10,Open ended,CRISIL Ultra Short Term Debt Index,5000.0,1000.0
IDFC Ultra Short Term Fund-Reg(M-IDCW),Debt - Ultra Short Duration Fund,5.74,4.77,4.35,0.43,64.6186895810956,27.865477007549767,32.38837703756201,37.477569537265055,88.12260536398468,20.0418242092696,65.2865421931811,57.091071657923976,4.4264935064935065,-0.07649350649350684,409,11,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
IDBI Ultra ST(DD-IDCW),Debt - Ultra Short Duration Fund,5.86,4.85,4.42,0.44,64.8764769065521,28.002745367192865,32.63642806520198,37.69433302406927,87.73946360153256,20.085499920237677,65.21089364272771,57.084755823099705,4.4264935064935065,-0.006493506493506551,410,12,Open ended,CRISIL Ultra Short Term Debt Index,5000.0,1000.0
Sundaram Corp Bond Fund(G),Debt - Corporate Bond Fund,5.47,3.94,5.53,0.54,64.03866809881848,26.441317776252575,36.569808646350104,39.02503327581452,83.9080459770115,19.453728512390867,66.30515381988769,57.065816587132055,5.055423728813559,0.4745762711864412,411,6,Open ended,NIFTY Corporate Bond Index,5000.0,1000.0
IIFL Dynamic Bond Fund-Reg(H-IDCW),Debt - Dynamic Bond,3.7,2.92,5.4,0.52,60.236305048335126,24.691146190803025,36.109142452161585,37.509176092988724,84.67432950191571,18.14730894546896,68.56793888579858,57.065155143422935,4.625,0.7750000000000004,412,1,Open ended,CRISIL Dynamic Debt Index,10000.0,1000.0
IIFL Dynamic Bond Fund-Reg(G),Debt - Dynamic Bond,3.7,2.92,5.4,0.52,60.236305048335126,24.691146190803025,36.109142452161585,37.509176092988724,84.67432950191571,18.14730894546896,68.56793888579858,57.065155143422935,4.625,0.7750000000000004,412,1,Open ended,CRISIL Dynamic Debt Index,10000.0,1000.0
IIFL Dynamic Bond Fund-Reg(Q-IDCW),Debt - Dynamic Bond,3.7,2.92,5.4,0.52,60.236305048335126,24.691146190803025,36.109142452161585,37.509176092988724,84.67432950191571,18.14730894546896,68.56793888579858,57.065155143422935,4.625,0.7750000000000004,412,1,Open ended,CRISIL Dynamic Debt Index,10000.0,1000.0
IDFC Ultra Short Term Fund-Reg(Q-IDCW),Debt - Ultra Short Duration Fund,5.73,4.76,4.33,0.43,64.59720730397423,27.848318462594374,32.31750531537916,37.43268965726274,88.12260536398468,20.051739835875033,65.26936782411163,57.06433812565544,4.4264935064935065,-0.09649350649350641,415,13,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
IDFC Ultra Short Term Fund-Reg(DD-IDCW),Debt - Ultra Short Duration Fund,5.72,4.72,4.33,0.43,64.57572502685285,27.779684282772827,32.31750531537916,37.407802947891994,88.12260536398468,20.06295580216464,65.24994120064204,57.04703811510267,4.4264935064935065,-0.09649350649350641,416,14,Open ended,NIFTY Ultra Short Duration Debt Index,1000.0,1000.0
LIC MF Ultra Short Term Fund-Reg(DD-IDCW),Debt - Ultra Short Duration Fund,5.36,4.52,4.08,0.4,63.80236305048334,27.43651338366507,31.431608788093545,36.70723101924296,89.272030651341,19.94284140903756,65.45798543225845,57.03611953052135,4.4264935064935065,-0.3464935064935064,417,15,Open ended,CRISIL Ultra Short Term Debt Index,5000.0,1000.0
Sundaram Corp Bond Fund(M-IDCW),Debt - Corporate Bond Fund,5.48,3.94,5.5,0.54,64.06015037593986,26.441317776252575,36.46350106307583,38.97617593960166,83.9080459770115,19.481597202211,66.25688383317886,57.02932042234842,5.055423728813559,0.44457627118644094,418,7,Open ended,NIFTY Corporate Bond Index,5000.0,1000.0
Nippon India Multi Cap Fund(IDCW),Equity - Multi Cap Fund,13.91,18.52,11.44,1.82,82.16970998925885,51.45847632120797,57.51240255138199,60.62768616990516,34.86590038314177,16.26761971063985,71.82365614296286,56.98623221647874,12.057857142857143,-0.6178571428571438,419,4,Open ended,Nifty500 Multicap 50:25:25 - TRI,1000.0,1000.0
